item_code,name,unit,category,min_stock
RM 1000,MITY WHOLE KERNAL CORN (425G)-300,TIN,,5
RM1192,CREAM CORN( 425G)- 300,TIN,,5
RM1004,BAKED BEANS,TIN,,5
RM 1007,BULERIAS PITTED GREEN OLIVERS.(330G)-400,BOT,,5
RM 1008,BULERIAS BLACK PITTED OLIVERS (330G)-400,BOT,,5
RM 1024,SWISS BERAR MAYONNAISE (3L)-3300,LTR,,5
RM 1021,EDIN ARTIFIAL VINEGAR (750ML)-95,BOT,,5
RM 1025,EDIN MUSTARD CREAM PET (675G)345,BOT,,5
RM 1023,EDIN B B Q SAUCE (350ML)SQ2-350,BOT,,5
RM 1109,ITALIAN OLIVE OIL (1L)OPM-1430,LTR,,5
RM1203,SESAMI OIL,BOT,,5
RM1212,WORCESTERSURE SAUCE,BOT,,5
RM1016,SOYA SAUCE,LTR,,5
RM1196,PEACH HALFS,TIN,,5
RM 1110,RICH LIFE UHT MILK,PKT,,5
RM 1111,RICH LIFE UHT MILK NON FAT,PKT,,5
RM3001,FRESH MILK RAN KIRI,PKT,,5
RM3002,HIGHLAND FRESH 500 ML,PKT,,5
RM3003,KOTHMALE VANILA MILK PKT 180ML,PKT,,5
RM3004,SOY MILK (200 ML),BOT,,5
SN332,POTATO CHIP- LARGE,PKT,,5
SN331,CASSAVA CHIP SALT & SEPPER 100G,PKT,,5
B070,ICE TEA BOTTLES,BOT,,5
RM1112,CHOCOLATE ICE CREAM (2L),2 LTR,,5
RM1113,VANILA ICE CREAM (2L),2LTR,,5
RM1114,STRAWBERY ICE CREAM (2L),2LTR,,5
IC352,60ML WONDERBAR ICY CHOCK,NOS,,5
IC351,120MLWONDE BAR CORN,NOS,,5
RM1099,TUBE ICE CUBE 1KG,PKT,,5
RM1118,GRANOLA,KG,,5
RM3005,RIDE CLASSIC DRINK 250ML,BOT,,5
B072,ALKA WATER BOTTLE,BOT,,5
B075,STERLING WATER BOT ( GLASS BOT),BOT,,5
RM1119,CURD,TUB,,5
RM1120,YOGURT,TUB,,5
RM3006,YOGURT SMALL,NOS,,5
RM1005,TUNA CAN (S) 140 GRM,CAN,,5
RM1006,SAMON SMALL,TIN,,5
RM2001,VEGETABLE OIL,LTR,,5
RM1026,TOMATO SAUCE,LTR,,5
RM1220,SWEET CHILLI SAUCE,BOT,,5
RM1028,OYESTA SOUSE ( ),BOT,,5
RM1029,LIME POWDER,PKT,,5
RM1209,KITUL TRICLE (750 ML),BOT,,5
RM1210,JUGGARY,KG,,5
RM1031,MINCED CHICKEN NORFOLK,KG,,5
RM1032,MINCED BEEF,KG,,5
RM1036,CHICKEN /HAM,SLICE,,5
RM1033,SMOK CHICKEN,KG,,5
RM1034,PEPPER BEEF,KG,,5
RM1035,CHICKEN BREST (1K),KG,,5
RM1215,CHICKEN WINGS,KG,,5
RM1037,JUMBO SAUSAGES( 15 NOS),NOS,,5
RM1193,HOT DOGS (30 (NOS),NOS,,5
RM3007,CHICKEN BECON,SLICE,,5
RM1214,SALAMI,KG,,5
RM1198,BREAKFAST SAUSAGE (40 NOS),NOS,,5
RM1197,MEAT BALLS (60 NOS),KG,,5
RM3008,SOUP BONES,KG,,5
RM1221,KOCHCHI SAUSAGE,NOS,,5
RM1040,FISH FILLET,KG,,5
RM1038,BEEF FILLET,KG,,5
RM1041,CUTTLE FISH,KG,,5
RM1039,PRAWNS,KG,,5
RM1009,VANILA SYRUP (1L),LTR,,5
RM1010,CARAMEL SYRUP (1L),LTR,,5
RM1011,HEZALNUT SYRUP (1L),LTR,,5
RM1013,THIRAMISU SYRUP,LTR,,5
RM1014,CARAMEL SAUCE (1.89 LTR),LTR,,5
RM1017,CHOCOLATE SAUCE HARSHEYS 750 ML,BOT,,5
RM1018,STRAWBERRY SAUCE HARSHEYS 750 ML,BOT,,5
E301,DOUGHNUT,NOS,,5
E303,CUP CAKES,NOS,,5
E304,BROWNIES,NOS,,5
E344,BANANA CAKE,NOS,,5
E346,DATE CAKE,NOS,,5
E343,CARROT CAKE,NOS,,5
E345,ROBBON CAKE,NOS,,5
E308,HONEY,BOT,,5
E309,BUTTER CAKE,NOS,,5
E310,CHOCOLATE MOUSSE,NOS,,5
E312,CHOCOLATE CROSSIANTS,NOS,,5
E313,PUDDING SMALL,NOS,,5
E314,CHIP COOKIES,NOS,,5
E334,ECLAIRS,NOS,,5
E322,MUFFINS,NOS,,5
E323,CINNAMON ROLLS,NOS,,5
